h3_index,bike_path_length,geometry,main_roads_length,walks_length,green_space_area,service_amenity_count,population_density,distance_to_city_center
877ab6460ffffff,3384.6731526432486,"POLYGON ((4.999576454985876 52.412460814232865, 5.011064751842616 52.41193439406949, 5.017688244664902 52.40196865742057, 5.012823833137915 52.39252749019263, 5.00133407137774 52.39305303596415, 4.994710185977444 52.40302062351677, 4.999576454985876 52.412460814232865, 4.999576454985876 52.412460814232865))",0.0,6386.034815349876,5609.7727784353665,2,64053747347.19871,13751.984516160086
877ab619effffff,2540.4527902765994,"POLYGON ((4.861597970279813 52.41878187357533, 4.873104549121075 52.41825483518892, 4.879728376446118 52.408283541818406, 4.874846010816283 52.39883743366069, 4.863337959664504 52.399363596755244, 4.856713746383989 52.40933674346093, 4.861597970279813 52.41878187357533, 4.861597970279813 52.41878187357533))",7106.490231945051,28759.65501983011,62432.60041187117,485,63916456579.89159,7053.752164594534
877ab61a2ffffff,0.0,"POLYGON ((4.774385753332175 52.43244665989526, 4.785902973611859 52.43191879688514, 4.792526611521604 52.421945187066015, 4.787633410521661 52.41249758542876, 4.776114712858568 52.41302457290365, 4.769490693510769 52.423000037712825, 4.774385753332175 52.43244665989526, 4.774385753332175 52.43244665989526))",4288.1110870911025,22208.585867940088,4778.602624032529,774,64012246655.69542,15333.210450393752
877ab618dffffff,29355.01267760389,"POLYGON ((4.81586602151544 52.35315232361985, 4.827384591588184 52.352628120622256, 4.834010977688122 52.34264663795053, 4.829119179558066 52.33318750513188, 4.817599137586085 52.33371083026353, 4.8109723655737815 52.34369416624143, 4.81586602151544 52.35315232361985, 4.81586602151544 52.35315232361985))",17746.761309272195,127153.12021968616,534069.6550260735,356,63942696588.24383,9506.53550678212
877ab619affffff,5079.918007153784,"POLYGON ((4.879728376446118 52.408283541818406, 4.891233410783415 52.40775701827851, 4.897857550492757 52.397785261918095, 4.892977042931057 52.38833817636126, 4.881470537661306 52.388863824402485, 4.874846010816283 52.39883743366069, 4.879728376446118 52.408283541818406, 4.879728376446118 52.408283541818406))",2640.8484013672096,56215.165159034914,22366.342717674193,644,64630104999.911476,4651.815867227384
877ab6086ffffff,24258.684148524575,"POLYGON ((4.935860839815858 52.35736482921592, 4.947362692042831 52.35684072651447, 4.953988445483532 52.346865273793476, 4.949112737993524 52.33741207262245, 4.937609419879154 52.33793529856856, 4.93098327507148 52.34791260260223, 4.935860839815858 52.35736482921592, 4.935860839815858 52.35736482921592))",15708.55451015282,157508.97596331465,204528.7363721186,1527,64157042956.283775,7276.785346056059
877ab6440ffffff,0.0,"POLYGON ((5.052143869809569 52.40039109397413, 5.063626018938611 52.39986534231496, 5.070249706873472 52.389900532112634, 5.065391641002471 52.380459623870806, 5.0539080302046235 52.38098450115681, 5.047283946875369 52.39095116121887, 5.052143869809569 52.40039109397413, 5.052143869809569 52.40039109397413))",0.0,0.0,0.0,0,64267185787.32798,18782.33520594623
877ab6442ffffff,0.0,"POLYGON ((5.068483310335956 52.40930306515404, 5.079962432535621 52.408776953699046, 5.086585724601675 52.39881399318636, 5.081730290265638 52.38937529460008, 5.070249706873472 52.389900532112634, 5.063626018938611 52.39986534231496, 5.068483310335956 52.40930306515404, 5.068483310335956 52.40930306515404))",0.0,0.0,0.0,0,66117301223.95983,20889.363315011375
877ab646cffffff,2280.9776358278596,"POLYGON ((5.003091605231685 52.37363975791341, 5.0145828309903715 52.3731150871711, 5.02120770368403 52.363144726880726, 5.016341744517295 52.3536971871259, 5.004849055666331 52.35422098220173, 4.998223789003249 52.36419319285993, 5.003091605231685 52.37363975791341, 5.003091605231685 52.37363975791341))",415.34588737842785,8122.037202064621,1001.1687873935947,19,64429029176.5614,13165.94086702104
877ab61abffffff,35642.72212598544,"POLYGON ((4.797719839761006 52.36365806492688, 4.809239950938764 52.3631333461701, 4.81586602151544 52.35315232361985, 4.8109723655737815 52.34369416624143, 4.799450781118295 52.3442180073384, 4.792824325812892 52.354200883635194, 4.797719839761006 52.36365806492688, 4.797719839761006 52.36365806492688))",17910.203901711895,227435.35119547884,389702.37793645274,1392,64421135790.90004,10426.384135660523
877ab6090ffffff,9177.939742448381,"POLYGON ((4.968608761417432 52.37521407813504, 4.980104569821841 52.374689253387906, 4.98672953909767 52.3647175027863, 4.9818590922191675 52.35526872611777, 4.970361818869977 52.35579267497291, 4.96373645727332 52.36576627654979, 4.968608761417432 52.37521407813504, 4.968608761417432 52.37521407813504))",10414.097885328038,52144.64101013214,151081.92007839406,199,64494218323.98414,9325.20496177673
